"Object" "Context" "ObjectResponse" "ContextResponse" "ChoiceNo" "SubjectNo" "Group" "CorrObjResp" "Accuracy" "SeenHit" "FalseSeenHit" "ContextAccuracy" "ObjectType" "ItemOrder" "CuriosityRating" "ItemOrderType" "CuriosityRatingType"
"NailScissors" "Library" "Seen" "LivingRoom" 2 "P02" "Novel" "Seen" 1 1 0 0 "Old" 2 4 "Early" "Low"
"Pinza" "Library" "Seen" "StorageRoom" 4 "P02" "Novel" "Seen" 1 1 0 0 "Old" 3 4 "Early" "Low"
"CoffeeMachine" "LivingRoom" "Seen" "LivingRoom" 3 "P02" "Novel" "Seen" 1 1 0 1 "Old" 4 5 "Late" "High"
"HTCVive" "LivingRoom" "Seen" "None" 2 "P02" "Novel" "Seen" 1 1 0 0 "Old" 1 5 "Early" "High"
"Jug" "LivingRoom" "Seen" "StorageRoom" 1 "P02" "Novel" "Seen" 1 1 0 0 "Old" 5 5 "Late" "High"
"Matrioshka" "LivingRoom" "Seen" "Library" 3 "P02" "Novel" "Seen" 1 1 0 0 "Old" 6 5 "Late" "High"
"MobilePhone" "LivingRoom" "Seen" "StorageRoom" 1 "P02" "Novel" "Seen" 1 1 0 0 "Old" 2 5 "Early" "High"
"Recorder" "LivingRoom" "New" "None" 1 "P02" "Novel" "Seen" 0 0 0 0 "Old" 3 5 "Early" "High"
"CokeCan" "StorageRoom" "Seen" "LivingRoom" 4 "P02" "Novel" "Seen" 1 1 0 0 "Old" 4 4 "Late" "Low"
"FirstAidKit" "StorageRoom" "Seen" "Bedroom" 4 "P02" "Novel" "Seen" 1 1 0 0 "Old" 2 4 "Early" "Low"
"Laptop" "StorageRoom" "Seen" "StorageRoom" 4 "P02" "Novel" "Seen" 1 1 0 1 "Old" 5 4 "Late" "Low"
"Microphone" "StorageRoom" "New" "None" 4 "P02" "Novel" "Seen" 0 0 0 0 "Old" 3 4 "Early" "Low"
"PaperCoffeeCup" "StorageRoom" "Seen" "StorageRoom" 3 "P02" "Novel" "Seen" 1 1 0 1 "Old" 6 4 "Late" "Low"
"Router" "StorageRoom" "Familiar" "None" 2 "P02" "Novel" "Seen" 1 0 0 0 "Old" 1 4 "Early" "Low"
"BallonDog" "Bedroom" "New" "None" 3 "P03" "Familiar" "Seen" 0 0 0 0 "Old" 3 5 "Early" "High"
"Bread" "Bedroom" "Seen" "LivingRoom" 1 "P03" "Familiar" "Seen" 1 1 0 0 "Old" 5 5 "Late" "High"
"Official hat" "Bedroom" "New" "None" 2 "P03" "Familiar" "Seen" 0 0 0 0 "Old" 4 5 "Late" "High"
"OldRadio" "Bedroom" "Seen" "Gym" 1 "P03" "Familiar" "Seen" 1 1 0 0 "Old" 6 5 "Late" "High"
"StrawberryDonut" "Bedroom" "Seen" "Classroom" 3 "P03" "Familiar" "Seen" 1 1 0 0 "Old" 2 5 "Early" "High"
"UGGboot" "Bedroom" "New" "None" 3 "P03" "Familiar" "Seen" 0 0 0 0 "Old" 1 5 "Early" "High"
"Basket" "Classroom" "Seen" "Bedroom" 4 "P03" "Familiar" "Seen" 1 1 0 0 "Old" 3 4 "Early" "Low"
"FireExtinguisher" "Classroom" "Seen" "Classroom" 2 "P03" "Familiar" "Seen" 1 1 0 1 "Old" 1 4 "Early" "Low"
"Hammer" "Classroom" "New" "None" 2 "P03" "Familiar" "Seen" 0 0 0 0 "Old" 4 4 "Late" "Low"
"MosquitoRacket" "Classroom" "Seen" "Bedroom" 1 "P03" "Familiar" "Seen" 1 1 0 0 "Old" 5 4 "Late" "Low"
"TennisBall" "Classroom" "Seen" "Classroom" 1 "P03" "Familiar" "Seen" 1 1 0 1 "Old" 2 4 "Early" "Low"
"Chaynik" "Gym" "Seen" "LivingRoom" 1 "P03" "Familiar" "Seen" 1 1 0 0 "Old" 5 1 "Late" "Low"
"CinRoll" "Gym" "Seen" "Classroom" 1 "P03" "Familiar" "Seen" 1 1 0 0 "Old" 2 1 "Early" "Low"
"Pumpkin" "Gym" "New" "None" 1 "P03" "Familiar" "Seen" 0 0 0 0 "Old" 1 1 "Early" "Low"
"RockingHorse" "Gym" "New" "None" 2 "P03" "Familiar" "Seen" 0 0 0 0 "Old" 3 1 "Early" "Low"
"ShowerHead" "Gym" "Seen" "Bedroom" 4 "P03" "Familiar" "Seen" 1 1 0 0 "Old" 4 1 "Late" "Low"
"Canister" "Library" "Seen" "None" 1 "P03" "Novel" "Seen" 1 1 0 0 "Old" 5 7 "Late" "High"
"Clamps" "Library" "Seen" "LivingRoom" 2 "P03" "Novel" "Seen" 1 1 0 0 "Old" 6 7 "Late" "High"
"DeskLight" "Library" "Seen" "Bedroom" 3 "P03" "Novel" "Seen" 1 1 0 0 "Old" 1 7 "Early" "High"
"Glasses" "Library" "New" "None" 1 "P03" "Novel" "Seen" 0 0 0 0 "Old" 4 7 "Late" "High"
"NailScissors" "Library" "New" "None" 4 "P03" "Novel" "Seen" 0 0 0 0 "Old" 2 7 "Early" "High"
"Pinza" "Library" "Seen" "StorageRoom" 4 "P03" "Novel" "Seen" 1 1 0 0 "Old" 3 7 "Early" "High"
"CoffeeMachine" "LivingRoom" "New" "None" 4 "P03" "Novel" "Seen" 0 0 0 0 "Old" 4 7 "Late" "High"
"HTCVive" "LivingRoom" "New" "None" 2 "P03" "Novel" "Seen" 0 0 0 0 "Old" 1 7 "Early" "High"
"Jug" "LivingRoom" "Seen" "StorageRoom" 1 "P03" "Novel" "Seen" 1 1 0 0 "Old" 5 7 "Late" "High"
"Matrioshka" "LivingRoom" "Seen" "Classroom" 4 "P03" "Novel" "Seen" 1 1 0 0 "Old" 6 7 "Late" "High"
"MobilePhone" "LivingRoom" "Seen" "LivingRoom" 2 "P03" "Novel" "Seen" 1 1 0 1 "Old" 2 7 "Early" "High"
"Recorder" "LivingRoom" "New" "None" 1 "P03" "Novel" "Seen" 0 0 0 0 "Old" 3 7 "Early" "High"
"CokeCan" "StorageRoom" "Seen" "LivingRoom" 4 "P03" "Novel" "Seen" 1 1 0 0 "Old" 4 3 "Late" "Low"
"FirstAidKit" "StorageRoom" "Seen" "Gym" 3 "P03" "Novel" "Seen" 1 1 0 0 "Old" 2 3 "Early" "Low"
"Laptop" "StorageRoom" "Seen" "Bedroom" 3 "P03" "Novel" "Seen" 1 1 0 0 "Old" 5 3 "Late" "Low"
"Microphone" "StorageRoom" "Familiar" "StorageRoom" 1 "P03" "Novel" "Seen" 1 0 0 1 "Old" 3 3 "Early" "Low"
"PaperCoffeeCup" "StorageRoom" "Seen" "Classroom" 1 "P03" "Novel" "Seen" 1 1 0 0 "Old" 6 3 "Late" "Low"
"Router" "StorageRoom" "Seen" "Gym" 1 "P03" "Novel" "Seen" 1 1 0 0 "Old" 1 3 "Early" "Low"
"BallonDog" "Bedroom" "Seen" "StorageRoom" 2 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 3 5 "Early" "High"
"Bread" "Bedroom" "Seen" "Gym" 3 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 5 5 "Late" "High"
"Official hat" "Bedroom" "Seen" "Bedroom" 4 "P04" "Familiar" "Seen" 1 1 0 1 "Old" 4 5 "Late" "High"
"OldRadio" "Bedroom" "Seen" "Library" 2 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 6 5 "Late" "High"
"StrawberryDonut" "Bedroom" "Seen" "Classroom" 3 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 2 5 "Early" "High"
"UGGboot" "Bedroom" "New" "None" 3 "P04" "Familiar" "Seen" 0 0 0 0 "Old" 1 5 "Early" "High"
"Basket" "Classroom" "Seen" "Classroom" 3 "P04" "Familiar" "Seen" 1 1 0 1 "Old" 3 3 "Early" "Low"
"FireExtinguisher" "Classroom" "Seen" "Classroom" 2 "P04" "Familiar" "Seen" 1 1 0 1 "Old" 1 3 "Early" "Low"
"Hammer" "Classroom" "Seen" "StorageRoom" 1 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 4 3 "Late" "Low"
"MosquitoRacket" "Classroom" "Seen" "StorageRoom" 3 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 5 3 "Late" "Low"
"TennisBall" "Classroom" "Seen" "Classroom" 1 "P04" "Familiar" "Seen" 1 1 0 1 "Old" 2 3 "Early" "Low"
"Toothpaste" "Classroom" "Seen" "Library" 2 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 6 3 "Late" "Low"
"Chaynik" "Gym" "Seen" "Gym" 4 "P04" "Familiar" "Seen" 1 1 0 1 "Old" 5 5 "Late" "High"
"CinRoll" "Gym" "Seen" "Classroom" 1 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 2 5 "Early" "High"
"Pumpkin" "Gym" "Seen" "Classroom" 3 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 1 5 "Early" "High"
"RockingHorse" "Gym" "Seen" "LivingRoom" 4 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 3 5 "Early" "High"
"ShowerHead" "Gym" "Seen" "Gym" 1 "P04" "Familiar" "Seen" 1 1 0 1 "Old" 4 5 "Late" "High"
"WineBottle" "Gym" "Seen" "StorageRoom" 2 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 6 5 "Late" "High"
"Canister" "Library" "Seen" "Library" 4 "P04" "Novel" "Seen" 1 1 0 1 "Old" 5 4 "Late" "Low"
"DeskLight" "Library" "Seen" "Bedroom" 3 "P04" "Novel" "Seen" 1 1 0 0 "Old" 1 4 "Early" "Low"
"Glasses" "Library" "Familiar" "None" 1 "P04" "Novel" "Seen" 1 0 0 0 "Old" 4 4 "Late" "Low"
"NailScissors" "Library" "Seen" "LivingRoom" 2 "P04" "Novel" "Seen" 1 1 0 0 "Old" 2 4 "Early" "Low"
"Pinza" "Library" "Seen" "Gym" 3 "P04" "Novel" "Seen" 1 1 0 0 "Old" 3 4 "Early" "Low"
"CoffeeMachine" "LivingRoom" "Seen" "StorageRoom" 2 "P04" "Novel" "Seen" 1 1 0 0 "Old" 4 3 "Late" "Low"
"HTCVive" "LivingRoom" "Seen" "Bedroom" 4 "P04" "Novel" "Seen" 1 1 0 0 "Old" 1 3 "Early" "Low"
"Jug" "LivingRoom" "Seen" "StorageRoom" 1 "P04" "Novel" "Seen" 1 1 0 0 "Old" 5 3 "Late" "Low"
"Matrioshka" "LivingRoom" "Seen" "Classroom" 4 "P04" "Novel" "Seen" 1 1 0 0 "Old" 6 3 "Late" "Low"
"MobilePhone" "LivingRoom" "Seen" "Gym" 3 "P04" "Novel" "Seen" 1 1 0 0 "Old" 2 3 "Early" "Low"
"Recorder" "LivingRoom" "Familiar" "None" 1 "P04" "Novel" "Seen" 1 0 0 0 "Old" 3 3 "Early" "Low"
"CokeCan" "StorageRoom" "Seen" "Gym" 3 "P04" "Novel" "Seen" 1 1 0 0 "Old" 4 3 "Late" "Low"
"FirstAidKit" "StorageRoom" "Seen" "StorageRoom" 2 "P04" "Novel" "Seen" 1 1 0 1 "Old" 2 3 "Early" "Low"
"Laptop" "StorageRoom" "Seen" "StorageRoom" 4 "P04" "Novel" "Seen" 1 1 0 1 "Old" 5 3 "Late" "Low"
"Microphone" "StorageRoom" "Seen" "Classroom" 2 "P04" "Novel" "Seen" 1 1 0 0 "Old" 3 3 "Early" "Low"
"PaperCoffeeCup" "StorageRoom" "Seen" "Classroom" 1 "P04" "Novel" "Seen" 1 1 0 0 "Old" 6 3 "Late" "Low"
"Router" "StorageRoom" "Seen" "Gym" 1 "P04" "Novel" "Seen" 1 1 0 0 "Old" 1 3 "Early" "Low"
"BallonDog" "Bedroom" "Seen" "Bedroom" 1 "P05" "Familiar" "Seen" 1 1 0 1 "Old" 3 1 "Early" "Low"
"Bread" "Bedroom" "Seen" "Bedroom" 2 "P05" "Familiar" "Seen" 1 1 0 1 "Old" 5 1 "Late" "Low"
"Official hat" "Bedroom" "Seen" "Bedroom" 4 "P05" "Familiar" "Seen" 1 1 0 1 "Old" 4 1 "Late" "Low"
"OldRadio" "Bedroom" "Seen" "Gym" 1 "P05" "Familiar" "Seen" 1 1 0 0 "Old" 6 1 "Late" "Low"
"StrawberryDonut" "Bedroom" "Seen" "Bedroom" 2 "P05" "Familiar" "Seen" 1 1 0 1 "Old" 2 1 "Early" "Low"
"UGGboot" "Bedroom" "Seen" "Library" 1 "P05" "Familiar" "Seen" 1 1 0 0 "Old" 1 1 "Early" "Low"
"Basket" "Classroom" "New" "None" 1 "P05" "Familiar" "Seen" 0 0 0 0 "Old" 3 1 "Early" "Low"
"FireExtinguisher" "Classroom" "Seen" "Classroom" 2 "P05" "Familiar" "Seen" 1 1 0 1 "Old" 1 1 "Early" "Low"
"Hammer" "Classroom" "Seen" "Classroom" 3 "P05" "Familiar" "Seen" 1 1 0 1 "Old" 4 1 "Late" "Low"
"MosquitoRacket" "Classroom" "New" "None" 4 "P05" "Familiar" "Seen" 0 0 0 0 "Old" 5 1 "Late" "Low"
"TennisBall" "Classroom" "New" "None" 4 "P05" "Familiar" "Seen" 0 0 0 0 "Old" 2 1 "Early" "Low"
"Toothpaste" "Classroom" "Seen" "Classroom" 3 "P05" "Familiar" "Seen" 1 1 0 1 "Old" 6 1 "Late" "Low"
"Chaynik" "Gym" "New" "None" 2 "P05" "Familiar" "Seen" 0 0 0 0 "Old" 5 1 "Late" "Low"
"CinRoll" "Gym" "Seen" "Library" 3 "P05" "Familiar" "Seen" 1 1 0 0 "Old" 2 1 "Early" "Low"
"Pumpkin" "Gym" "Seen" "Classroom" 3 "P05" "Familiar" "Seen" 1 1 0 0 "Old" 1 1 "Early" "Low"
"RockingHorse" "Gym" "Seen" "LivingRoom" 4 "P05" "Familiar" "Seen" 1 1 0 0 "Old" 3 1 "Early" "Low"
"ShowerHead" "Gym" "New" "None" 2 "P05" "Familiar" "Seen" 0 0 0 0 "Old" 4 1 "Late" "Low"
"WineBottle" "Gym" "Seen" "StorageRoom" 2 "P05" "Familiar" "Seen" 1 1 0 0 "Old" 6 1 "Late" "Low"
"Canister" "Library" "Seen" "Library" 4 "P05" "Novel" "Seen" 1 1 0 1 "Old" 5 7 "Late" "High"
"Clamps" "Library" "New" "None" 3 "P05" "Novel" "Seen" 0 0 0 0 "Old" 6 7 "Late" "High"
"DeskLight" "Library" "Seen" "Library" 4 "P05" "Novel" "Seen" 1 1 0 1 "Old" 1 7 "Early" "High"
"Glasses" "Library" "New" "None" 1 "P05" "Novel" "Seen" 0 0 0 0 "Old" 4 7 "Late" "High"
"NailScissors" "Library" "Seen" "Library" 1 "P05" "Novel" "Seen" 1 1 0 1 "Old" 2 7 "Early" "High"
"Pinza" "Library" "Seen" "Library" 2 "P05" "Novel" "Seen" 1 1 0 1 "Old" 3 7 "Early" "High"
"CoffeeMachine" "LivingRoom" "New" "None" 4 "P05" "Novel" "Seen" 0 0 0 0 "Old" 4 7 "Late" "High"
"HTCVive" "LivingRoom" "Seen" "Gym" 3 "P05" "Novel" "Seen" 1 1 0 0 "Old" 1 7 "Early" "High"
"Jug" "LivingRoom" "Seen" "Library" 4 "P05" "Novel" "Seen" 1 1 0 0 "Old" 5 7 "Late" "High"
"Matrioshka" "LivingRoom" "Seen" "Classroom" 4 "P05" "Novel" "Seen" 1 1 0 0 "Old" 6 7 "Late" "High"
"MobilePhone" "LivingRoom" "New" "None" 4 "P05" "Novel" "Seen" 0 0 0 0 "Old" 2 7 "Early" "High"
"Recorder" "LivingRoom" "Seen" "LivingRoom" 3 "P05" "Novel" "Seen" 1 1 0 1 "Old" 3 7 "Early" "High"
"CokeCan" "StorageRoom" "Seen" "StorageRoom" 2 "P05" "Novel" "Seen" 1 1 0 1 "Old" 4 7 "Late" "High"
"FirstAidKit" "StorageRoom" "Seen" "StorageRoom" 2 "P05" "Novel" "Seen" 1 1 0 1 "Old" 2 7 "Early" "High"
"Laptop" "StorageRoom" "Seen" "StorageRoom" 4 "P05" "Novel" "Seen" 1 1 0 1 "Old" 5 7 "Late" "High"
"Microphone" "StorageRoom" "Seen" "StorageRoom" 1 "P05" "Novel" "Seen" 1 1 0 1 "Old" 3 7 "Early" "High"
"PaperCoffeeCup" "StorageRoom" "New" "None" 2 "P05" "Novel" "Seen" 0 0 0 0 "Old" 6 7 "Late" "High"
"Router" "StorageRoom" "Seen" "StorageRoom" 3 "P05" "Novel" "Seen" 1 1 0 1 "Old" 1 7 "Early" "High"
"Chaynik" "Bedroom" "Seen" "Bedroom" 4 "P06" "Familiar" "Seen" 1 1 0 1 "Old" 2 4 "Early" "Low"
"FireExtinguisher" "Bedroom" "Seen" "LivingRoom" 3 "P06" "Familiar" "Seen" 1 1 0 0 "Old" 1 4 "Early" "Low"
"Glasses" "Bedroom" "Seen" "Bedroom" 3 "P06" "Familiar" "Seen" 1 1 0 1 "Old" 5 4 "Late" "Low"
"MobilePhone" "Bedroom" "Seen" "Library" 4 "P06" "Familiar" "Seen" 1 1 0 0 "Old" 3 4 "Early" "Low"
"Pinza" "Bedroom" "Seen" "Bedroom" 1 "P06" "Familiar" "Seen" 1 1 0 1 "Old" 6 4 "Late" "Low"
"UGGboot" "Bedroom" "Seen" "Classroom" 3 "P06" "Familiar" "Seen" 1 1 0 0 "Old" 4 4 "Late" "Low"
"BallonDog" "Classroom" "Familiar" "LivingRoom" 3 "P06" "Familiar" "Seen" 1 0 0 0 "Old" 1 3 "Early" "Low"
"CokeCan" "Classroom" "Seen" "Classroom" 1 "P06" "Familiar" "Seen" 1 1 0 1 "Old" 5 3 "Late" "Low"
"HTCVive" "Classroom" "Seen" "Classroom" 2 "P06" "Familiar" "Seen" 1 1 0 1 "Old" 3 3 "Early" "Low"
"Recorder" "Classroom" "Seen" "Classroom" 3 "P06" "Familiar" "Seen" 1 1 0 1 "Old" 2 3 "Early" "Low"
"Toothpaste" "Classroom" "Seen" "Classroom" 1 "P06" "Familiar" "Seen" 1 1 0 1 "Old" 4 3 "Late" "Low"
"WineBottle" "Classroom" "New" "None" 1 "P06" "Familiar" "Seen" 0 0 0 0 "Old" 6 3 "Late" "Low"
"CoffeeMachine" "Gym" "Seen" "Bedroom" 1 "P06" "Familiar" "Seen" 1 1 0 0 "Old" 1 3 "Early" "Low"
"DeskLight" "Gym" "Seen" "Gym" 2 "P06" "Familiar" "Seen" 1 1 0 1 "Old" 4 3 "Late" "Low"
"Microphone" "Gym" "Seen" "Gym" 1 "P06" "Familiar" "Seen" 1 1 0 1 "Old" 3 3 "Early" "Low"
"OldRadio" "Gym" "New" "None" 1 "P06" "Familiar" "Seen" 0 0 0 0 "Old" 5 3 "Late" "Low"
"PaperCoffeeCup" "Gym" "Seen" "LivingRoom" 2 "P06" "Familiar" "Seen" 1 1 0 0 "Old" 6 3 "Late" "Low"
"RockingHorse" "Gym" "Seen" "Gym" 4 "P06" "Familiar" "Seen" 1 1 0 1 "Old" 2 3 "Early" "Low"
"Canister" "Library" "Seen" "Bedroom" 2 "P06" "Novel" "Seen" 1 1 0 0 "Old" 4 3 "Late" "Low"
"Clamps" "Library" "Seen" "Bedroom" 2 "P06" "Novel" "Seen" 1 1 0 0 "Old" 1 3 "Early" "Low"
"Hammer" "Library" "Seen" "Classroom" 2 "P06" "Novel" "Seen" 1 1 0 0 "Old" 5 3 "Late" "Low"
"Laptop" "Library" "Seen" "Library" 3 "P06" "Novel" "Seen" 1 1 0 1 "Old" 3 3 "Early" "Low"
"Official hat" "Library" "Seen" "Library" 3 "P06" "Novel" "Seen" 1 1 0 1 "Old" 6 3 "Late" "Low"
"TennisBall" "Library" "Seen" "Library" 1 "P06" "Novel" "Seen" 1 1 0 1 "Old" 2 3 "Early" "Low"
"Bread" "LivingRoom" "New" "None" 3 "P06" "Novel" "Seen" 0 0 0 0 "Old" 4 6 "Late" "High"
"FirstAidKit" "LivingRoom" "Seen" "LivingRoom" 2 "P06" "Novel" "Seen" 1 1 0 1 "Old" 5 6 "Late" "High"
