"Room" "Item" "Order" "SubjectNo"
"LivingRoom" "Mushroom" 4 "P08"
"LivingRoom" "RugbyBall" 5 "P08"
"LivingRoom" "Spoons" 6 "P08"
"StorageRoom" "SaltSub" 1 "P08"
"StorageRoom" "Typewriter" 2 "P08"
"StorageRoom" "Apple" 3 "P08"
"StorageRoom" "Paprika" 4 "P08"
"StorageRoom" "Headphones" 5 "P08"
"StorageRoom" "Cabbaage" 6 "P08"
"Bedroom" "PiggyBank" 1 "P09"
"Bedroom" "MechanicalGloves" 2 "P09"
"Bedroom" "Grape" 3 "P09"
"Bedroom" "Teacup" 4 "P09"
"Bedroom" "BaseballBat" 5 "P09"
"Bedroom" "Toaster" 6 "P09"
"Classroom" "Kettle" 1 "P09"
"Classroom" "Squeezer" 2 "P09"
"Classroom" "Openner" 3 "P09"
"Classroom" "Calculator" 4 "P09"
"Classroom" "HTCViveController" 5 "P09"
"Classroom" "OfficeBin" 6 "P09"
"Gym" "Avocado" 1 "P09"
"Gym" "Pineapple" 2 "P09"
"Gym" "Stapler" 3 "P09"
"Gym" "JBLSpeaker" 4 "P09"
"Gym" "Controller" 5 "P09"
"Gym" "Mouse" 6 "P09"
"Library" "EggBeater" 1 "P09"
"Library" "Padella" 2 "P09"
"Library" "CleaningBucket" 3 "P09"
"Library" "NikonCamera" 4 "P09"
"Library" "HandDrill" 5 "P09"
"Library" "MokeExpress" 6 "P09"
"LivingRoom" "PencilSharpener" 1 "P09"
"LivingRoom" "Muffin" 2 "P09"
"LivingRoom" "MilkCarton" 3 "P09"
"LivingRoom" "Mushroom" 4 "P09"
"LivingRoom" "RugbyBall" 5 "P09"
"LivingRoom" "Spoons" 6 "P09"
"StorageRoom" "SaltSub" 1 "P09"
"StorageRoom" "Typewriter" 2 "P09"
"StorageRoom" "Apple" 3 "P09"
"StorageRoom" "Paprika" 4 "P09"
"StorageRoom" "Headphones" 5 "P09"
"StorageRoom" "Cabbaage" 6 "P09"
"Bedroom" "Paprika" 1 "P10"
"Bedroom" "MokeExpress" 2 "P10"
"Bedroom" "Muffin" 3 "P10"
"Bedroom" "Padella" 4 "P10"
"Bedroom" "Avocado" 5 "P10"
"Bedroom" "MilkCarton" 6 "P10"
"Classroom" "JBLSpeaker" 1 "P10"
"Classroom" "Openner" 2 "P10"
"Classroom" "Kettle" 3 "P10"
"Classroom" "EggBeater" 4 "P10"
"Classroom" "Apple" 5 "P10"
"Classroom" "SaltSub" 6 "P10"
"Gym" "Pineapple" 1 "P10"
"Gym" "Spoons" 2 "P10"
"Gym" "PencilSharpener" 3 "P10"
"Gym" "OfficeBin" 4 "P10"
"Gym" "CleaningBucket" 5 "P10"
"Gym" "Calculator" 6 "P10"
"Library" "Squeezer" 1 "P10"
"Library" "HandDrill" 2 "P10"
"Library" "Stapler" 3 "P10"
"Library" "Teacup" 4 "P10"
"Library" "HTCViveController" 5 "P10"
"Library" "Mouse" 6 "P10"
"LivingRoom" "Cabbaage" 1 "P10"
"LivingRoom" "Controller" 2 "P10"
"LivingRoom" "MechanicalGloves" 3 "P10"
"LivingRoom" "Mushroom" 4 "P10"
"LivingRoom" "Grape" 5 "P10"
"LivingRoom" "RugbyBall" 6 "P10"
"StorageRoom" "PiggyBank" 1 "P10"
"StorageRoom" "Toaster" 2 "P10"
"StorageRoom" "BaseballBat" 3 "P10"
"StorageRoom" "Typewriter" 4 "P10"
"StorageRoom" "NikonCamera" 5 "P10"
"StorageRoom" "Headphones" 6 "P10"
"Bedroom" "Mouse" 1 "P11"
"Bedroom" "Typewriter" 2 "P11"
"Bedroom" "Padella" 3 "P11"
"Bedroom" "Padella" 4 "P11"
"Bedroom" "Calculator" 5 "P11"
"Bedroom" "Headphones" 6 "P11"
"Gym" "Toaster" 1 "P11"
"Gym" "Mushroom" 2 "P11"
"Gym" "MechanicalGloves" 3 "P11"
"Gym" "HTCViveController" 4 "P11"
"Gym" "Squeezer" 5 "P11"
"Gym" "Squeezer" 6 "P11"
"Library" "Grape" 1 "P11"
"Library" "Muffin" 2 "P11"
"Library" "Cabbaage" 3 "P11"
"Library" "NikonCamera" 4 "P11"
"Library" "MokeExpress" 5 "P11"
"Library" "JBLSpeaker" 6 "P11"
"StorageRoom" "CleaningBucket" 1 "P11"
"StorageRoom" "Controller" 2 "P11"
"StorageRoom" "MilkCarton" 3 "P11"
"StorageRoom" "Openner" 4 "P11"
"StorageRoom" "BaseballBat" 5 "P11"
"StorageRoom" "Kettle" 6 "P11"
"LivingRoom" "Stapler" 1 "P11"
"LivingRoom" "Paprika" 2 "P11"
"LivingRoom" "SaltSub" 3 "P11"
"LivingRoom" "OfficeBin" 4 "P11"
"LivingRoom" "RugbyBall" 5 "P11"
"Classroom" "Spoons" 1 "P11"
"Classroom" "HandDrill" 2 "P11"
"Classroom" "Teacup" 3 "P11"
"Classroom" "EggBeater" 4 "P11"
"Classroom" "PiggyBank" 5 "P11"
"Bedroom" "Calculator" 1 "P12"
"Bedroom" "NikonCamera" 2 "P12"
"Bedroom" "MokeExpress" 3 "P12"
"Bedroom" "Apple" 4 "P12"
"Bedroom" "Grape" 5 "P12"
"Bedroom" "MilkCarton" 6 "P12"
"Classroom" "Controller" 1 "P12"
"Classroom" "RugbyBall" 2 "P12"
"Classroom" "Padella" 3 "P12"
"Classroom" "BaseballBat" 4 "P12"
"Classroom" "Spoons" 5 "P12"
"Classroom" "Stapler" 6 "P12"
"Gym" "Typewriter" 1 "P12"
"Gym" "Mushroom" 2 "P12"
"Gym" "PencilSharpener" 3 "P12"
"Gym" "Headphones" 4 "P12"
"Gym" "JBLSpeaker" 5 "P12"
"Gym" "HandDrill" 6 "P12"
"Library" "Kettle" 1 "P12"
"Library" "Mouse" 2 "P12"
"Library" "Squeezer" 3 "P12"
"Library" "Pineapple" 4 "P12"
"Library" "Avocado" 5 "P12"
"Library" "Teacup" 6 "P12"
"LivingRoom" "MechanicalGloves" 1 "P12"
"LivingRoom" "OfficeBin" 2 "P12"
"LivingRoom" "EggBeater" 3 "P12"
"LivingRoom" "Muffin" 4 "P12"
"LivingRoom" "HTCViveController" 5 "P12"
"LivingRoom" "PiggyBank" 6 "P12"
"StorageRoom" "Cabbaage" 1 "P12"
"StorageRoom" "Paprika" 2 "P12"
"StorageRoom" "Toaster" 3 "P12"
"StorageRoom" "Openner" 4 "P12"
"StorageRoom" "CleaningBucket" 5 "P12"
"StorageRoom" "SaltSub" 6 "P12"
"Bedroom" "Microphone" 1 "P25"
"Bedroom" "Pinza" 2 "P25"
"Bedroom" "HTCVive" 3 "P25"
"Bedroom" "PaperCoffeeCup" 4 "P25"
"Bedroom" "Hammer" 5 "P25"
"Bedroom" "RockingHorse" 6 "P25"
"Classroom" "UGGboot" 1 "P25"
"Classroom" "Bread" 2 "P25"
"Classroom" "Clamps" 3 "P25"
"Classroom" "WineBottle" 4 "P25"
"Classroom" "FirstAidKit" 5 "P25"
"Classroom" "OldRadio" 6 "P25"
"Gym" "CoffeeMachine" 1 "P25"
"Gym" "Toothpaste" 2 "P25"
"Gym" "Matrioshka" 3 "P25"
"Gym" "MobilePhone" 4 "P25"
"Gym" "CokeCan" 5 "P25"
"Gym" "MosquitoRacket" 6 "P25"
"Library" "Official hat" 1 "P25"
"Library" "TennisBall" 2 "P25"
"Library" "Router" 3 "P25"
"Library" "Laptop" 4 "P25"
"Library" "DeskLight" 5 "P25"
"Library" "Pumpkin" 6 "P25"
"LivingRoom" "Recorder" 1 "P25"
"LivingRoom" "Canister" 2 "P25"
"LivingRoom" "StrawberryDonut" 3 "P25"
"LivingRoom" "Chaynik" 4 "P25"
"LivingRoom" "CinRoll" 5 "P25"
"LivingRoom" "Jug" 6 "P25"
"StorageRoom" "Basket" 1 "P25"
"StorageRoom" "FireExtinguisher" 2 "P25"
"StorageRoom" "Glasses" 3 "P25"
"StorageRoom" "NailScissors" 4 "P25"
"StorageRoom" "ShowerHead" 5 "P25"
"StorageRoom" "BallonDog" 6 "P25"
"Bedroom" "FirstAidKit" 1 "P61"
"Bedroom" "NailScissors" 2 "P61"
"Bedroom" "Clamps" 3 "P61"
"Bedroom" "CoffeeMachine" 4 "P61"
"Bedroom" "Hammer" 5 "P61"
"Bedroom" "DeskLight" 6 "P61"
"Classroom" "FireExtinguisher" 1 "P61"
"Classroom" "UGGboot" 2 "P61"
"Classroom" "Bread" 3 "P61"
"Classroom" "Recorder" 4 "P61"
"Classroom" "Official hat" 5 "P61"
"Classroom" "OldRadio" 6 "P61"
"Gym" "StrawberryDonut" 1 "P61"
"Gym" "Basket" 2 "P61"
"Gym" "CokeCan" 3 "P61"
"Gym" "MosquitoRacket" 4 "P61"
"Gym" "MobilePhone" 5 "P61"
"Gym" "Matrioshka" 6 "P61"
"Library" "Jug" 1 "P61"
"Library" "RockingHorse" 2 "P61"
"Library" "TennisBall" 3 "P61"
"Library" "Router" 4 "P61"
"Library" "Toothpaste" 5 "P61"
"Library" "BallonDog" 6 "P61"
"LivingRoom" "ShowerHead" 1 "P61"
"LivingRoom" "WineBottle" 2 "P61"
"LivingRoom" "Chaynik" 3 "P61"
"LivingRoom" "Laptop" 4 "P61"
"LivingRoom" "Canister" 5 "P61"
"LivingRoom" "CinRoll" 6 "P61"
"StorageRoom" "PaperCoffeeCup" 1 "P61"
"StorageRoom" "Glasses" 2 "P61"
"StorageRoom" "Pumpkin" 3 "P61"
"StorageRoom" "Microphone" 4 "P61"
"StorageRoom" "HTCVive" 5 "P61"
"StorageRoom" "Pinza" 6 "P61"
"Bedroom" "Spoons" 1 "P62"
"Bedroom" "MokeExpress" 2 "P62"
"Bedroom" "Muffin" 3 "P62"
"Bedroom" "Calculator" 4 "P62"
"Bedroom" "Cabbaage" 5 "P62"
"Bedroom" "Typewriter" 6 "P62"
"Classroom" "Pineapple" 1 "P62"
"Classroom" "EggBeater" 2 "P62"
"Classroom" "SaltSub" 3 "P62"
"Classroom" "Headphones" 4 "P62"
"Classroom" "PencilSharpener" 5 "P62"
"Classroom" "CleaningBucket" 6 "P62"
"Gym" "HTCViveController" 1 "P62"
"Gym" "Avocado" 2 "P62"
"Gym" "HandDrill" 3 "P62"
"Gym" "Padella" 4 "P62"
"Gym" "Openner" 5 "P62"
"Gym" "MechanicalGloves" 6 "P62"
"Library" "Apple" 1 "P62"
"Library" "Paprika" 2 "P62"
"Library" "PiggyBank" 3 "P62"
"Library" "OfficeBin" 4 "P62"
"Library" "Stapler" 5 "P62"
"Library" "Grape" 6 "P62"
"LivingRoom" "RugbyBall" 1 "P62"
"LivingRoom" "BaseballBat" 2 "P62"
"LivingRoom" "Kettle" 3 "P62"
"LivingRoom" "Controller" 4 "P62"
"LivingRoom" "Mouse" 5 "P62"
"LivingRoom" "Toaster" 6 "P62"
"StorageRoom" "NikonCamera" 1 "P62"
"StorageRoom" "Teacup" 2 "P62"
"StorageRoom" "JBLSpeaker" 3 "P62"
"StorageRoom" "MilkCarton" 4 "P62"
"StorageRoom" "Squeezer" 5 "P62"
"StorageRoom" "Mushroom" 6 "P62"
"Bedroom" "Canister" 1 "P63"
"Bedroom" "BallonDog" 2 "P63"
"Bedroom" "StrawberryDonut" 3 "P63"
"Bedroom" "OldRadio" 4 "P63"
"Bedroom" "DeskLight" 5 "P63"
"Bedroom" "HTCVive" 6 "P63"
"Classroom" "CinRoll" 1 "P63"
"Classroom" "Pumpkin" 2 "P63"
"Classroom" "FireExtinguisher" 3 "P63"
"Classroom" "Bread" 4 "P63"
"Classroom" "Router" 5 "P63"
"Classroom" "CokeCan" 6 "P63"
"Gym" "Matrioshka" 1 "P63"
"Gym" "Microphone" 2 "P63"
"Gym" "Chaynik" 3 "P63"
"Gym" "Pinza" 4 "P63"
"Gym" "Jug" 5 "P63"
"Gym" "MobilePhone" 6 "P63"
"Library" "CoffeeMachine" 1 "P63"
"Library" "WineBottle" 2 "P63"
"Library" "Official hat" 3 "P63"
"Library" "Basket" 4 "P63"
"Library" "Laptop" 5 "P63"
"Library" "Recorder" 6 "P63"
"LivingRoom" "Clamps" 1 "P63"
"LivingRoom" "Glasses" 2 "P63"
"LivingRoom" "PaperCoffeeCup" 3 "P63"
"LivingRoom" "RockingHorse" 4 "P63"
"LivingRoom" "Toothpaste" 5 "P63"
"LivingRoom" "Hammer" 6 "P63"
"StorageRoom" "NailScissors" 1 "P63"
"StorageRoom" "FirstAidKit" 2 "P63"
"StorageRoom" "ShowerHead" 3 "P63"
"StorageRoom" "TennisBall" 4 "P63"
"StorageRoom" "UGGboot" 5 "P63"
"StorageRoom" "MosquitoRacket" 6 "P63"
"Bedroom" "Apple" 1 "P64"
"Bedroom" "Pineapple" 2 "P64"
"Bedroom" "JBLSpeaker" 3 "P64"
"Bedroom" "MechanicalGloves" 4 "P64"
"Bedroom" "Calculator" 5 "P64"
"Bedroom" "Headphones" 6 "P64"
"Classroom" "Squeezer" 1 "P64"
"Classroom" "Mushroom" 2 "P64"
"Classroom" "Padella" 3 "P64"
"Classroom" "HandDrill" 4 "P64"
"Classroom" "HTCViveController" 5 "P64"
"Classroom" "NikonCamera" 6 "P64"
"Gym" "Grape" 1 "P64"
"Gym" "Paprika" 2 "P64"
"Gym" "Typewriter" 3 "P64"
"Gym" "Mouse" 4 "P64"
"Gym" "Cabbaage" 5 "P64"
"Gym" "EggBeater" 6 "P64"
"Library" "MilkCarton" 1 "P64"
"Library" "OfficeBin" 2 "P64"
"Library" "MokeExpress" 3 "P64"
"Library" "Controller" 4 "P64"
"Library" "Avocado" 5 "P64"
"Library" "SaltSub" 6 "P64"
"LivingRoom" "Spoons" 1 "P64"
"LivingRoom" "Teacup" 2 "P64"
"LivingRoom" "PencilSharpener" 3 "P64"
"LivingRoom" "Muffin" 4 "P64"
"LivingRoom" "Kettle" 5 "P64"
"LivingRoom" "RugbyBall" 6 "P64"
"StorageRoom" "Openner" 1 "P64"
"StorageRoom" "BaseballBat" 2 "P64"
"StorageRoom" "Toaster" 3 "P64"
"StorageRoom" "PiggyBank" 4 "P64"
"StorageRoom" "CleaningBucket" 5 "P64"
"StorageRoom" "Stapler" 6 "P64"
"Bedroom" "Canister" 1 "P65"
"Bedroom" "Clamps" 2 "P65"
"Bedroom" "Jug" 3 "P65"
"Bedroom" "MosquitoRacket" 4 "P65"
"Bedroom" "HTCVive" 5 "P65"
"Bedroom" "DeskLight" 6 "P65"
"Classroom" "PaperCoffeeCup" 1 "P65"
"Classroom" "CokeCan" 2 "P65"
"Classroom" "FireExtinguisher" 3 "P65"
"Classroom" "ShowerHead" 4 "P65"
"Classroom" "NailScissors" 5 "P65"
"Classroom" "Bread" 6 "P65"
"Gym" "MobilePhone" 1 "P65"
"Gym" "FirstAidKit" 2 "P65"
"Gym" "Pinza" 3 "P65"
"Gym" "BallonDog" 4 "P65"
"Gym" "Laptop" 5 "P65"
"Gym" "CoffeeMachine" 6 "P65"
"Library" "Matrioshka" 1 "P65"
"Library" "StrawberryDonut" 2 "P65"
"Library" "Router" 3 "P65"
"Library" "TennisBall" 4 "P65"
"Library" "OldRadio" 5 "P65"
"Library" "Pumpkin" 6 "P65"
"LivingRoom" "Hammer" 1 "P65"
"LivingRoom" "CinRoll" 2 "P65"
"LivingRoom" "RockingHorse" 3 "P65"
"LivingRoom" "Microphone" 4 "P65"
"LivingRoom" "UGGboot" 5 "P65"
"LivingRoom" "Toothpaste" 6 "P65"
"StorageRoom" "Chaynik" 1 "P65"
"StorageRoom" "Basket" 2 "P65"
"StorageRoom" "Official hat" 3 "P65"
"StorageRoom" "Glasses" 4 "P65"
"StorageRoom" "WineBottle" 5 "P65"
"StorageRoom" "Recorder" 6 "P65"
"Bedroom" "HTCViveController" 1 "P66"
"Bedroom" "HandDrill" 2 "P66"
"Bedroom" "NikonCamera" 3 "P66"
"Bedroom" "PiggyBank" 4 "P66"
"Bedroom" "Typewriter" 5 "P66"
"Bedroom" "OfficeBin" 6 "P66"
"Classroom" "Kettle" 1 "P66"
"Classroom" "JBLSpeaker" 2 "P66"
"Classroom" "MokeExpress" 3 "P66"
"Classroom" "Grape" 4 "P66"
"Classroom" "Padella" 5 "P66"
"Classroom" "Controller" 6 "P66"
"Gym" "MilkCarton" 1 "P66"
"Gym" "Headphones" 2 "P66"
"Gym" "CleaningBucket" 3 "P66"
"Gym" "BaseballBat" 4 "P66"
